Id,Date,Total Purchase,Location,Day of the Month,Week of the Month,Day of the Week,Month,Year
329,7/12/2025,$38.05,Chi Mc,12,2,Saturday,July,2025
330,7/12/2025,$20.13,Little Caesars,12,2,Saturday,July,2025
331,7/12/2025,$16.53,De Clieu,12,2,Saturday,July,2025
332,7/10/2025,$8.48,Apiary Coffee,10,2,Thursday,July,2025
333,7/7/2025,$16.64,Taco Bell,07,1,Monday,July,2025
334,7/6/2025,$19.61,Anitas,06,1,Sunday,July,2025
335,6/29/2025,$6.23,7-Eleven,29,5,Sunday,June,2025
336,6/29/2025,$20.43,Northside Social,29,5,Sunday,June,2025
337,6/27/2025,$19.46,Anitas,27,4,Friday,June,2025
338,6/27/2025,$10.25,Dairy Queen,27,4,Friday,June,2025
339,6/27/2025,$53.00,Umai Ramen and Rice Bowl,27,4,Friday,June,2025
340,6/26/2025,$15.62,Weird Bros,26,4,Thursday,June,2025
341,6/26/2025,$13.12,Anitas,26,4,Thursday,June,2025
342,6/26/2025,$3.02,7-Eleven,26,4,Thursday,June,2025
343,6/23/2025,$12.60,Panera Bread,23,4,Monday,June,2025
344,6/23/2025,$13.25,Taco Bell,23,4,Monday,June,2025
345,6/21/2025,$15.85,Weird Bros,21,3,Saturday,June,2025
346,6/19/2025,$5.54,7-Eleven,19,3,Thursday,June,2025
347,6/19/2025,$8.67,Taco Bell,19,3,Thursday,June,2025
348,6/18/2025,$4.24,Wendy's,18,3,Wednesday,June,2025
349,6/16/2025,$1.77,7-Eleven,16,3,Monday,June,2025
350,6/15/2025,$10.79,Cracker Barrel,15,3,Sunday,June,2025
351,6/13/2025,$5.00,Dairy Queen,13,2,Friday,June,2025
352,6/13/2025,$8.05,Dulles Regional Chamber,13,2,Friday,June,2025
353,6/12/2025,$13.78,Apiary Coffee,12,2,Thursday,June,2025
354,6/12/2025,$7.53,Mccleaf's Market,12,2,Thursday,June,2025
355,6/11/2025,$18.87,Taco Bell,11,2,Wednesday,June,2025
356,6/8/2025,$20.11,Little Caesars,08,2,Sunday,June,2025
357,6/7/2025,$3.00,Regal,07,1,Saturday,June,2025
358,6/6/2025,$7.67,Papa Johns,06,1,Friday,June,2025
359,6/6/2025,$7.00,Friday Night Live,06,1,Friday,June,2025
360,6/5/2025,$6.00,House of Empanadas,05,1,Thursday,June,2025
361,6/5/2025,$22.26,Apiary Coffee,05,1,Thursday,June,2025
362,6/3/2025,$22.04,Taco Bell,03,1,Tuesday,June,2025
363,6/1/2025,$13.25,Taco Bell,01,1,Sunday,June,2025
364,5/31/2025,$22.25,Northside Social,31,5,Saturday,May,2025
365,5/30/2025,$10.25,Dairy Queen,30,5,Friday,May,2025
366,5/30/2025,$12.75,Wendy's,30,5,Friday,May,2025
367,5/25/2025,$42.00,Joe's Cafe,25,4,Sunday,May,2025
368,5/24/2025,$15.91,Panera,24,4,Saturday,May,2025
369,5/22/2025,$21.37,Virginia Kitchen,22,4,Thursday,May,2025
370,5/22/2025,$35.12,Ramen and Rice Bowl,22,4,Thursday,May,2025
371,5/21/2025,$2.00,Taco Bell,21,3,Wednesday,May,2025
372,5/19/2025,$22.25,Taco Bell,19,3,Monday,May,2025
373,5/18/2025,$12.39,Wendy's,18,3,Sunday,May,2025
374,5/17/2025,$14.37,Papa Johns,17,3,Saturday,May,2025
375,5/17/2025,$6.14,McDonald's,17,3,Saturday,May,2025
376,5/16/2025,$11.88,Panera,16,3,Friday,May,2025
377,5/15/2025,$2.51,7-Eleven,15,3,Thursday,May,2025
378,5/14/2025,$5.00,Weird Bros,14,2,Wednesday,May,2025
379,5/13/2025,$4.83,Panera,13,2,Tuesday,May,2025
380,5/11/2025,$56.00,Jinya Ramen,11,2,Sunday,May,2025
381,5/11/2025,$3.63,Wawa,11,2,Sunday,May,2025
382,5/10/2025,$10.91,Dairy Queen,10,2,Saturday,May,2025
383,5/8/2025,$6.86,Weird Bros,08,2,Thursday,May,2025
384,5/7/2025,$2.82,7-Eleven,07,1,Wednesday,May,2025
385,5/6/2025,$9.53,Chimney Cake Baker,06,1,Tuesday,May,2025
386,5/3/2025,$80.40,Right Proper Brewing Co,03,1,Saturday,May,2025
387,5/3/2025,$17.26,Taco Bell,03,1,Saturday,May,2025
388,5/3/2025,$3.63,Wawa,03,1,Saturday,May,2025
389,5/1/2025,$11.79,Weird Bros,01,1,Thursday,May,2025
390,5/1/2025,$11.79,Weird Bros,01,1,Thursday,May,2025
391,5/1/2025,$14.83,Aslin's,01,1,Thursday,May,2025
